percentile_rank,metric_value,branch,load_type,total_count
0.0,207.0,control,ERROR,22
0.01,207.0,control,ERROR,22
0.02,207.0,control,ERROR,22
0.03,207.0,control,ERROR,22
0.04,207.0,control,ERROR,22
0.05,207.0,control,ERROR,22
0.06,207.0,control,ERROR,22
0.07,207.0,control,ERROR,22
0.08,207.0,control,ERROR,22
0.09,207.0,control,ERROR,22
0.1,207.0,control,ERROR,22
0.11,820.0,control,ERROR,22
0.12,820.0,control,ERROR,22
0.13,820.0,control,ERROR,22
0.14,820.0,control,ERROR,22
0.15,820.0,control,ERROR,22
0.16,820.0,control,ERROR,22
0.17,820.0,control,ERROR,22
0.18,820.0,control,ERROR,22
0.19,820.0,control,ERROR,22
0.2,820.0,control,ERROR,22
0.21,890.0,control,ERROR,22
0.22,890.0,control,ERROR,22
0.23,890.0,control,ERROR,22
0.24,890.0,control,ERROR,22
0.25,890.0,control,ERROR,22
0.26,890.0,control,ERROR,22
0.27,890.0,control,ERROR,22
0.28,890.0,control,ERROR,22
0.29,890.0,control,ERROR,22
0.3,890.0,control,ERROR,22
0.31,1002.0,control,ERROR,22
0.32,1002.0,control,ERROR,22
0.33,1002.0,control,ERROR,22
0.34,1002.0,control,ERROR,22
0.35,1002.0,control,ERROR,22
0.36,1002.0,control,ERROR,22
0.37,1002.0,control,ERROR,22
0.38,1002.0,control,ERROR,22
0.39,1002.0,control,ERROR,22
0.4,1002.0,control,ERROR,22
0.41,1271.0,control,ERROR,22
0.42,1271.0,control,ERROR,22
0.43,1271.0,control,ERROR,22
0.44,1271.0,control,ERROR,22
0.45,1271.0,control,ERROR,22
0.46,1271.0,control,ERROR,22
0.47,1271.0,control,ERROR,22
0.48,1271.0,control,ERROR,22
0.49,1271.0,control,ERROR,22
0.5,1271.0,control,ERROR,22
0.51,1669.0,control,ERROR,22
0.52,1669.0,control,ERROR,22
0.53,1669.0,control,ERROR,22
0.54,1669.0,control,ERROR,22
0.55,1669.0,control,ERROR,22
0.56,1669.0,control,ERROR,22
0.57,1669.0,control,ERROR,22
0.58,1669.0,control,ERROR,22
0.59,1669.0,control,ERROR,22
0.6,1669.0,control,ERROR,22
0.61,1991.0,control,ERROR,22
0.62,1991.0,control,ERROR,22
0.63,1991.0,control,ERROR,22
0.64,1991.0,control,ERROR,22
0.65,1991.0,control,ERROR,22
0.66,1991.0,control,ERROR,22
0.67,1991.0,control,ERROR,22
0.68,1991.0,control,ERROR,22
0.69,1991.0,control,ERROR,22
0.7,1991.0,control,ERROR,22
0.71,2600.0,control,ERROR,22
0.72,2600.0,control,ERROR,22
0.73,2600.0,control,ERROR,22
0.74,2600.0,control,ERROR,22
0.75,2600.0,control,ERROR,22
0.76,2600.0,control,ERROR,22
0.77,2600.0,control,ERROR,22
0.78,2600.0,control,ERROR,22
0.79,2600.0,control,ERROR,22
0.8,2600.0,control,ERROR,22
0.81,3147.0,control,ERROR,22
0.82,3147.0,control,ERROR,22
0.83,3147.0,control,ERROR,22
0.84,3147.0,control,ERROR,22
0.85,3147.0,control,ERROR,22
0.86,3147.0,control,ERROR,22
0.87,3147.0,control,ERROR,22
0.88,3147.0,control,ERROR,22
0.89,3147.0,control,ERROR,22
0.9,3147.0,control,ERROR,22
0.91,7790.0,control,ERROR,22
0.92,7790.0,control,ERROR,22
0.93,7790.0,control,ERROR,22
0.94,7790.0,control,ERROR,22
0.95,7790.0,control,ERROR,22
0.96,7790.0,control,ERROR,22
0.97,7790.0,control,ERROR,22
0.98,7790.0,control,ERROR,22
0.99,7790.0,control,ERROR,22
1.0,7790.0,control,ERROR,22
0.0,79.0,treatment-a,ERROR,48
0.01,79.0,treatment-a,ERROR,48
0.02,79.0,treatment-a,ERROR,48
0.03,79.0,treatment-a,ERROR,48
0.04,227.0,treatment-a,ERROR,48
0.05,227.0,treatment-a,ERROR,48
0.06,227.0,treatment-a,ERROR,48
0.07,349.0,treatment-a,ERROR,48
0.08,349.0,treatment-a,ERROR,48
0.09,349.0,treatment-a,ERROR,48
0.1,371.0,treatment-a,ERROR,48
0.11,371.0,treatment-a,ERROR,48
0.12,371.0,treatment-a,ERROR,48
0.13,381.0,treatment-a,ERROR,48
0.14,381.0,treatment-a,ERROR,48
0.15,381.0,treatment-a,ERROR,48
0.16,385.0,treatment-a,ERROR,48
0.17,385.0,treatment-a,ERROR,48
0.18,385.0,treatment-a,ERROR,48
0.19,390.0,treatment-a,ERROR,48
0.2,390.0,treatment-a,ERROR,48
0.21,390.0,treatment-a,ERROR,48
0.22,420.0,treatment-a,ERROR,48
0.23,420.0,treatment-a,ERROR,48
0.24,420.0,treatment-a,ERROR,48
0.25,420.0,treatment-a,ERROR,48
0.26,427.0,treatment-a,ERROR,48
0.27,427.0,treatment-a,ERROR,48
0.28,427.0,treatment-a,ERROR,48
0.29,457.0,treatment-a,ERROR,48
0.3,457.0,treatment-a,ERROR,48
0.31,457.0,treatment-a,ERROR,48
0.32,501.0,treatment-a,ERROR,48
0.33,501.0,treatment-a,ERROR,48
0.34,501.0,treatment-a,ERROR,48
0.35,553.0,treatment-a,ERROR,48
0.36,553.0,treatment-a,ERROR,48
0.37,553.0,treatment-a,ERROR,48
0.38,584.0,treatment-a,ERROR,48
0.39,584.0,treatment-a,ERROR,48
0.4,584.0,treatment-a,ERROR,48
0.41,595.0,treatment-a,ERROR,48
0.42,595.0,treatment-a,ERROR,48
0.43,595.0,treatment-a,ERROR,48
0.44,612.0,treatment-a,ERROR,48
0.45,612.0,treatment-a,ERROR,48
0.46,612.0,treatment-a,ERROR,48
0.47,656.0,treatment-a,ERROR,48
0.48,656.0,treatment-a,ERROR,48
0.49,656.0,treatment-a,ERROR,48
0.5,656.0,treatment-a,ERROR,48
0.51,745.0,treatment-a,ERROR,48
0.52,745.0,treatment-a,ERROR,48
0.53,745.0,treatment-a,ERROR,48
0.54,751.0,treatment-a,ERROR,48
0.55,751.0,treatment-a,ERROR,48
0.56,751.0,treatment-a,ERROR,48
0.57,780.0,treatment-a,ERROR,48
0.58,780.0,treatment-a,ERROR,48
0.59,780.0,treatment-a,ERROR,48
0.6,818.0,treatment-a,ERROR,48
0.61,818.0,treatment-a,ERROR,48
0.62,818.0,treatment-a,ERROR,48
0.63,860.0,treatment-a,ERROR,48
0.64,860.0,treatment-a,ERROR,48
0.65,860.0,treatment-a,ERROR,48
0.66,880.0,treatment-a,ERROR,48
0.67,880.0,treatment-a,ERROR,48
0.68,880.0,treatment-a,ERROR,48
0.69,954.0,treatment-a,ERROR,48
0.7,954.0,treatment-a,ERROR,48
0.71,954.0,treatment-a,ERROR,48
0.72,978.0,treatment-a,ERROR,48
0.73,978.0,treatment-a,ERROR,48
0.74,978.0,treatment-a,ERROR,48
0.75,978.0,treatment-a,ERROR,48
0.76,986.0,treatment-a,ERROR,48
0.77,986.0,treatment-a,ERROR,48
0.78,986.0,treatment-a,ERROR,48
0.79,1058.0,treatment-a,ERROR,48
0.8,1058.0,treatment-a,ERROR,48
0.81,1058.0,treatment-a,ERROR,48
0.82,1079.0,treatment-a,ERROR,48
0.83,1079.0,treatment-a,ERROR,48
0.84,1079.0,treatment-a,ERROR,48
0.85,1824.0,treatment-a,ERROR,48
0.86,1824.0,treatment-a,ERROR,48
0.87,1824.0,treatment-a,ERROR,48
0.88,2486.0,treatment-a,ERROR,48
0.89,2486.0,treatment-a,ERROR,48
0.9,2486.0,treatment-a,ERROR,48
0.91,3006.0,treatment-a,ERROR,48
0.92,3006.0,treatment-a,ERROR,48
0.93,3006.0,treatment-a,ERROR,48
0.94,3706.0,treatment-a,ERROR,48
0.95,3706.0,treatment-a,ERROR,48
0.96,3706.0,treatment-a,ERROR,48
0.97,8729.0,treatment-a,ERROR,48
0.98,8729.0,treatment-a,ERROR,48
0.99,8729.0,treatment-a,ERROR,48
1.0,8729.0,treatment-a,ERROR,48
0.0,36.0,treatment-b,ERROR,39
0.01,36.0,treatment-b,ERROR,39
0.02,36.0,treatment-b,ERROR,39
0.03,36.0,treatment-b,ERROR,39
0.04,36.0,treatment-b,ERROR,39
0.05,43.0,treatment-b,ERROR,39
0.06,43.0,treatment-b,ERROR,39
0.07,43.0,treatment-b,ERROR,39
0.08,43.0,treatment-b,ERROR,39
0.09,66.0,treatment-b,ERROR,39
0.1,66.0,treatment-b,ERROR,39
0.11,66.0,treatment-b,ERROR,39
0.12,66.0,treatment-b,ERROR,39
0.13,66.0,treatment-b,ERROR,39
0.14,78.0,treatment-b,ERROR,39
0.15,78.0,treatment-b,ERROR,39
0.16,78.0,treatment-b,ERROR,39
0.17,78.0,treatment-b,ERROR,39
0.18,105.0,treatment-b,ERROR,39
0.19,105.0,treatment-b,ERROR,39
0.2,105.0,treatment-b,ERROR,39
0.21,105.0,treatment-b,ERROR,39
0.22,148.0,treatment-b,ERROR,39
0.23,148.0,treatment-b,ERROR,39
0.24,148.0,treatment-b,ERROR,39
0.25,148.0,treatment-b,ERROR,39
0.26,148.0,treatment-b,ERROR,39
0.27,152.0,treatment-b,ERROR,39
0.28,152.0,treatment-b,ERROR,39
0.29,152.0,treatment-b,ERROR,39
0.3,152.0,treatment-b,ERROR,39
0.31,180.0,treatment-b,ERROR,39
0.32,180.0,treatment-b,ERROR,39
0.33,180.0,treatment-b,ERROR,39
0.34,180.0,treatment-b,ERROR,39
0.35,201.0,treatment-b,ERROR,39
0.36,201.0,treatment-b,ERROR,39
0.37,201.0,treatment-b,ERROR,39
0.38,201.0,treatment-b,ERROR,39
0.39,201.0,treatment-b,ERROR,39
0.4,380.0,treatment-b,ERROR,39
0.41,380.0,treatment-b,ERROR,39
0.42,380.0,treatment-b,ERROR,39
0.43,380.0,treatment-b,ERROR,39
0.44,413.0,treatment-b,ERROR,39
0.45,413.0,treatment-b,ERROR,39
0.46,413.0,treatment-b,ERROR,39
0.47,413.0,treatment-b,ERROR,39
