percentile_rank,metric_value,branch,load_type,total_count
0.0,115.0,control,ERROR,22
0.01,115.0,control,ERROR,22
0.02,115.0,control,ERROR,22
0.03,115.0,control,ERROR,22
0.04,115.0,control,ERROR,22
0.05,188.0,control,ERROR,22
0.06,188.0,control,ERROR,22
0.07,188.0,control,ERROR,22
0.08,188.0,control,ERROR,22
0.09,188.0,control,ERROR,22
0.1,213.0,control,ERROR,22
0.11,213.0,control,ERROR,22
0.12,213.0,control,ERROR,22
0.13,213.0,control,ERROR,22
0.14,234.0,control,ERROR,22
0.15,234.0,control,ERROR,22
0.16,234.0,control,ERROR,22
0.17,234.0,control,ERROR,22
0.18,234.0,control,ERROR,22
0.19,281.0,control,ERROR,22
0.2,281.0,control,ERROR,22
0.21,281.0,control,ERROR,22
0.22,281.0,control,ERROR,22
0.23,350.0,control,ERROR,22
0.24,350.0,control,ERROR,22
0.25,350.0,control,ERROR,22
0.26,350.0,control,ERROR,22
0.27,350.0,control,ERROR,22
0.28,949.0,control,ERROR,22
0.29,949.0,control,ERROR,22
0.3,949.0,control,ERROR,22
0.31,949.0,control,ERROR,22
0.32,951.0,control,ERROR,22
0.33,951.0,control,ERROR,22
0.34,951.0,control,ERROR,22
0.35,951.0,control,ERROR,22
0.36,951.0,control,ERROR,22
0.37,1068.0,control,ERROR,22
0.38,1068.0,control,ERROR,22
0.39,1068.0,control,ERROR,22
0.4,1068.0,control,ERROR,22
0.41,1303.0,control,ERROR,22
0.42,1303.0,control,ERROR,22
0.43,1303.0,control,ERROR,22
0.44,1303.0,control,ERROR,22
0.45,1303.0,control,ERROR,22
0.46,1415.0,control,ERROR,22
0.47,1415.0,control,ERROR,22
0.48,1415.0,control,ERROR,22
0.49,1415.0,control,ERROR,22
0.5,1415.0,control,ERROR,22
0.51,2151.0,control,ERROR,22
0.52,2151.0,control,ERROR,22
0.53,2151.0,control,ERROR,22
0.54,2151.0,control,ERROR,22
0.55,2758.0,control,ERROR,22
0.56,2758.0,control,ERROR,22
0.57,2758.0,control,ERROR,22
0.58,2758.0,control,ERROR,22
0.59,2758.0,control,ERROR,22
0.6,2816.0,control,ERROR,22
0.61,2816.0,control,ERROR,22
0.62,2816.0,control,ERROR,22
0.63,2816.0,control,ERROR,22
0.64,3893.0,control,ERROR,22
0.65,3893.0,control,ERROR,22
0.66,3893.0,control,ERROR,22
0.67,3893.0,control,ERROR,22
0.68,3893.0,control,ERROR,22
0.69,4216.0,control,ERROR,22
0.7,4216.0,control,ERROR,22
0.71,4216.0,control,ERROR,22
0.72,4216.0,control,ERROR,22
0.73,5686.0,control,ERROR,22
0.74,5686.0,control,ERROR,22
0.75,5686.0,control,ERROR,22
0.76,5686.0,control,ERROR,22
0.77,5686.0,control,ERROR,22
0.78,8154.0,control,ERROR,22
0.79,8154.0,control,ERROR,22
0.8,8154.0,control,ERROR,22
0.81,8154.0,control,ERROR,22
0.82,11287.0,control,ERROR,22
0.83,11287.0,control,ERROR,22
0.84,11287.0,control,ERROR,22
0.85,11287.0,control,ERROR,22
0.86,11287.0,control,ERROR,22
0.87,30352.0,control,ERROR,22
0.88,30352.0,control,ERROR,22
0.89,30352.0,control,ERROR,22
0.9,30352.0,control,ERROR,22
0.91,32486.0,control,ERROR,22
0.92,32486.0,control,ERROR,22
0.93,32486.0,control,ERROR,22
0.94,32486.0,control,ERROR,22
0.95,32486.0,control,ERROR,22
0.96,54442.0,control,ERROR,22
0.97,54442.0,control,ERROR,22
0.98,54442.0,control,ERROR,22
0.99,54442.0,control,ERROR,22
1.0,54442.0,control,ERROR,22
0.0,60.0,treatment-a,ERROR,48
0.01,60.0,treatment-a,ERROR,48
0.02,60.0,treatment-a,ERROR,48
0.03,79.0,treatment-a,ERROR,48
0.04,79.0,treatment-a,ERROR,48
0.05,100.0,treatment-a,ERROR,48
0.06,100.0,treatment-a,ERROR,48
0.07,105.0,treatment-a,ERROR,48
0.08,105.0,treatment-a,ERROR,48
0.09,122.0,treatment-a,ERROR,48
0.1,122.0,treatment-a,ERROR,48
0.11,123.0,treatment-a,ERROR,48
0.12,123.0,treatment-a,ERROR,48
0.13,198.0,treatment-a,ERROR,48
0.14,198.0,treatment-a,ERROR,48
0.15,218.0,treatment-a,ERROR,48
0.16,218.0,treatment-a,ERROR,48
0.17,343.0,treatment-a,ERROR,48
0.18,343.0,treatment-a,ERROR,48
0.19,378.0,treatment-a,ERROR,48
0.2,378.0,treatment-a,ERROR,48
0.21,437.0,treatment-a,ERROR,48
0.22,437.0,treatment-a,ERROR,48
0.23,446.0,treatment-a,ERROR,48
0.24,446.0,treatment-a,ERROR,48
0.25,446.0,treatment-a,ERROR,48
0.26,555.0,treatment-a,ERROR,48
0.27,555.0,treatment-a,ERROR,48
0.28,572.0,treatment-a,ERROR,48
0.29,572.0,treatment-a,ERROR,48
0.3,606.0,treatment-a,ERROR,48
0.31,606.0,treatment-a,ERROR,48
0.32,616.0,treatment-a,ERROR,48
0.33,616.0,treatment-a,ERROR,48
0.34,648.0,treatment-a,ERROR,48
0.35,648.0,treatment-a,ERROR,48
0.36,726.0,treatment-a,ERROR,48
0.37,726.0,treatment-a,ERROR,48
0.38,764.0,treatment-a,ERROR,48
0.39,764.0,treatment-a,ERROR,48
0.4,866.0,treatment-a,ERROR,48
0.41,866.0,treatment-a,ERROR,48
0.42,871.0,treatment-a,ERROR,48
0.43,871.0,treatment-a,ERROR,48
0.44,917.0,treatment-a,ERROR,48
0.45,917.0,treatment-a,ERROR,48
0.46,919.0,treatment-a,ERROR,48
0.47,919.0,treatment-a,ERROR,48
0.48,945.0,treatment-a,ERROR,48
0.49,945.0,treatment-a,ERROR,48
0.5,945.0,treatment-a,ERROR,48
0.51,971.0,treatment-a,ERROR,48
0.52,971.0,treatment-a,ERROR,48
0.53,991.0,treatment-a,ERROR,48
0.54,991.0,treatment-a,ERROR,48
0.55,1153.0,treatment-a,ERROR,48
0.56,1153.0,treatment-a,ERROR,48
0.57,1286.0,treatment-a,ERROR,48
0.58,1286.0,treatment-a,ERROR,48
0.59,1343.0,treatment-a,ERROR,48
0.6,1343.0,treatment-a,ERROR,48
0.61,1354.0,treatment-a,ERROR,48
0.62,1354.0,treatment-a,ERROR,48
0.63,1507.0,treatment-a,ERROR,48
0.64,1507.0,treatment-a,ERROR,48
0.65,1576.0,treatment-a,ERROR,48
0.66,1576.0,treatment-a,ERROR,48
0.67,1590.0,treatment-a,ERROR,48
0.68,1590.0,treatment-a,ERROR,48
0.69,1732.0,treatment-a,ERROR,48
0.7,1732.0,treatment-a,ERROR,48
0.71,1811.0,treatment-a,ERROR,48
0.72,1811.0,treatment-a,ERROR,48
0.73,2051.0,treatment-a,ERROR,48
0.74,2051.0,treatment-a,ERROR,48
0.75,2051.0,treatment-a,ERROR,48
0.76,2172.0,treatment-a,ERROR,48
0.77,2172.0,treatment-a,ERROR,48
0.78,2482.0,treatment-a,ERROR,48
0.79,2482.0,treatment-a,ERROR,48
0.8,2730.0,treatment-a,ERROR,48
0.81,2730.0,treatment-a,ERROR,48
0.82,3089.0,treatment-a,ERROR,48
0.83,3089.0,treatment-a,ERROR,48
0.84,3750.0,treatment-a,ERROR,48
0.85,3750.0,treatment-a,ERROR,48
